start_ts,srcIp,dstIp,srcPort,dstPort,protocol,duration,packets,bytes,packetsPerSecond,bytesPerSecond,averagePacketSize,synCount,ackCount,finCount,rstCount,pshCount,urgCount,label
1787310033697,10.34.135.89,10.34.135.159,43178,8080,6,0.009105,5,528,549.149,57990.1,105.6,1,4,1,0,1,0,brute_force
1787310032904,10.34.135.89,10.34.135.159,42834,8080,6,0.011527,5,528,433.764,45805.5,105.6,1,4,1,0,1,0,brute_force
1787310033881,10.34.135.89,10.34.135.159,43250,8080,6,0.007487,5,528,667.824,70522.2,105.6,1,4,1,0,1,0,brute_force
1787310033005,10.34.135.159,10.34.135.89,8080,42884,6,0.00839,5,440,595.948,52443.4,88.0,1,5,1,0,1,0,brute_force
1787310033743,10.34.135.159,10.34.135.89,8080,43194,6,0.005843,5,440,855.725,75303.8,88.0,1,5,1,0,1,0,brute_force
1787310032534,10.34.135.159,10.34.135.89,8080,42728,6,0.010952,5,440,456.538,40175.3,88.0,1,5,1,0,1,0,brute_force
1787310033759,10.34.135.89,10.34.135.159,43196,8080,6,0.007988,5,528,625.939,66099.1,105.6,1,4,1,0,1,0,brute_force
1787310033803,10.34.135.159,10.34.135.89,8080,43210,6,0.005812,5,440,860.289,75705.4,88.0,1,5,1,0,1,0,brute_force
1787310033820,10.34.135.89,10.34.135.159,43222,8080,6,0.008212,5,528,608.865,64296.2,105.6,1,4,1,0,1,0,brute_force
1787310032555,10.34.135.89,10.34.135.159,42738,8080,6,0.008742,5,528,571.951,60398.1,105.6,1,4,1,0,1,0,brute_force
1787310033842,10.34.135.89,10.34.135.159,43236,8080,6,0.006786,5,528,736.811,77807.3,105.6,1,4,1,0,1,0,brute_force
1787310033845,10.34.135.159,10.34.135.89,8080,43236,6,0.007051,5,440,709.119,62402.5,88.0,1,5,1,0,1,0,brute_force
1787310033861,10.34.135.89,10.34.135.159,43240,8080,6,0.00648,5,528,771.605,81481.5,105.6,1,4,1,0,1,0,brute_force
1787310033864,10.34.135.159,10.34.135.89,8080,43240,6,0.006135,5,440,814.996,71719.6,88.0,1,5,1,0,1,0,brute_force
1787310033128,10.34.135.89,10.34.135.159,42942,8080,6,0.012901,5,528,387.567,40927.1,105.6,1,4,1,0,1,0,brute_force
1787310033901,10.34.135.89,10.34.135.159,43254,8080,6,0.006761,5,528,739.536,78095.0,105.6,1,4,1,0,1,0,brute_force
1787310032058,10.34.135.89,10.34.135.159,42574,8080,6,0.011411,5,528,438.174,46271.1,105.6,1,4,1,0,1,0,brute_force
1787310032304,10.34.135.89,10.34.135.159,42662,8080,6,0.011718,5,528,426.694,45058.9,105.6,1,4,1,0,1,0,brute_force
1787310033904,10.34.135.159,10.34.135.89,8080,43254,6,0.006955,5,440,718.907,63263.8,88.0,1,5,1,0,1,0,brute_force
1787310033924,10.34.135.159,10.34.135.89,8080,43258,6,0.007209,5,440,693.577,61034.8,88.0,1,5,1,0,1,0,brute_force
1787310033947,10.34.135.159,10.34.135.89,8080,43270,6,0.008237,5,440,607.017,53417.5,88.0,1,5,1,0,1,0,brute_force
1787310033970,10.34.135.159,10.34.135.89,8080,43274,6,0.009793,5,440,510.569,44930.1,88.0,1,5,1,0,1,0,brute_force
1787310032227,10.34.135.89,10.34.135.159,42634,8080,6,0.010273,5,528,486.713,51396.9,105.6,1,4,1,0,1,0,brute_force
1787310032233,10.34.135.159,10.34.135.89,8080,42634,6,0.009082,5,440,550.54,48447.5,88.0,1,5,1,0,1,0,brute_force
1787310033783,10.34.135.159,10.34.135.89,8080,43208,6,0.007234,5,440,691.181,60823.9,88.0,1,5,1,0,1,0,brute_force
1787310032660,10.34.135.159,10.34.135.89,8080,42756,6,0.008378,5,440,596.801,52518.5,88.0,1,5,1,0,1,0,brute_force
1787310033780,10.34.135.89,10.34.135.159,43208,8080,6,0.006195,5,528,807.103,85230.0,105.6,1,4,1,0,1,0,brute_force
1787310032559,10.34.135.159,10.34.135.89,8080,42738,6,0.009124,5,440,548.005,48224.5,88.0,1,5,1,0,1,0,brute_force
1787310033255,10.34.135.89,10.34.135.159,42994,8080,6,0.011572,5,528,432.077,45627.4,105.6,1,4,1,0,1,0,brute_force
1787310033740,10.34.135.89,10.34.135.159,43194,8080,6,0.006029,5,528,829.325,87576.7,105.6,1,4,1,0,1,0,brute_force
1787310031565,10.34.135.89,10.34.135.159,42346,8080,6,0.012254,5,527,408.03,43006.4,105.4,1,4,1,0,1,0,brute_force
1787310032801,10.34.135.89,10.34.135.159,42804,8080,6,0.011656,5,528,428.964,45298.6,105.6,1,4,1,0,1,0,brute_force
1787310032883,10.34.135.159,10.34.135.89,8080,42826,6,0.009927,5,440,503.677,44323.6,88.0,1,5,1,0,1,0,brute_force
1787310032361,10.34.135.159,10.34.135.89,8080,42678,6,0.010637,5,440,470.057,41365.0,88.0,1,5,1,0,1,0,brute_force
1787310036466,10.34.135.159,10.34.135.89,8080,59460,6,0.008782,5,440,569.346,50102.5,88.0,1,5,1,0,1,0,brute_force
1787310036460,10.34.135.89,10.34.135.159,59460,8080,6,0.010952,5,529,456.538,48301.7,105.8,1,4,1,0,1,0,brute_force
1787310036435,10.34.135.89,10.34.135.159,59456,8080,6,0.011808,5,529,423.442,44800.1,105.8,1,4,1,0,1,0,brute_force
1787310036385,10.34.135.89,10.34.135.159,59444,8080,6,0.010024,5,529,498.803,52773.3,105.8,1,4,1,0,1,0,brute_force
1787310036289,10.34.135.159,10.34.135.89,8080,59396,6,0.011552,5,440,432.825,38088.6,88.0,1,5,1,0,1,0,brute_force
